Date,Open,High,Low,Close,Adj Close,Volume
2022-09-09,2.790000,2.850000,2.750000,2.830000,2.830000,256300
2022-09-12,3.040000,3.040000,2.870000,2.930000,2.930000,141800
2022-09-13,2.930000,3.000000,2.810000,2.820000,2.820000,196300
2022-09-14,2.820000,2.890000,2.760000,2.850000,2.850000,224600
2022-09-15,2.850000,2.850000,2.750000,2.780000,2.780000,166400
2022-09-16,2.780000,2.790000,2.620000,2.780000,2.780000,300700
2022-09-19,2.720000,2.770000,2.600000,2.680000,2.680000,333900
2022-09-20,2.700000,2.700000,2.550000,2.580000,2.580000,334700
2022-09-21,2.590000,2.700000,2.560000,2.560000,2.560000,300900
2022-09-22,2.570000,2.630000,2.560000,2.610000,2.610000,198500
2022-09-23,2.580000,2.650000,2.550000,2.610000,2.610000,285600
2022-09-26,2.570000,2.760000,2.570000,2.650000,2.650000,233800
2022-09-27,2.650000,2.680000,2.580000,2.650000,2.650000,84500
2022-09-28,2.590000,2.610000,2.570000,2.590000,2.590000,102800
2022-09-29,2.640000,2.640000,2.550000,2.570000,2.570000,139700
2022-09-30,2.520000,2.600000,2.520000,2.600000,2.600000,196500
2022-10-03,2.700000,2.740000,2.530000,2.580000,2.580000,321300
2022-10-04,2.580000,2.640000,2.560000,2.580000,2.580000,116300
2022-10-05,2.520000,2.590000,2.520000,2.560000,2.560000,174400
2022-10-06,2.560000,2.610000,2.560000,2.570000,2.570000,108900
2022-10-07,2.560000,2.620000,2.530000,2.550000,2.550000,293700
2022-10-10,2.550000,2.560000,2.450000,2.450000,2.450000,289000
2022-10-11,2.350000,2.420000,2.300000,2.320000,2.320000,311000
2022-10-12,2.300000,2.340000,2.150000,2.190000,2.190000,517200
2022-10-13,2.160000,2.210000,2.070000,2.190000,2.190000,454100
2022-10-14,2.200000,2.290000,2.100000,2.250000,2.250000,385900
2022-10-17,2.250000,2.620000,2.210000,2.620000,2.620000,562700
2022-10-18,2.670000,3.390000,2.650000,3.240000,3.240000,1280800
2022-10-19,3.240000,3.520000,2.420000,2.520000,2.520000,792100
2022-10-20,1.850000,2.180000,1.620000,2.020000,2.020000,3030600
2022-10-21,1.970000,2.170000,1.820000,2.100000,2.100000,588200
2022-10-24,2.040000,2.400000,2.040000,2.340000,2.340000,403600
2022-10-25,2.310000,2.540000,2.270000,2.530000,2.530000,264300
2022-10-26,2.500000,2.540000,2.300000,2.350000,2.350000,525800
2022-10-27,2.300000,2.300000,2.060000,2.070000,2.070000,493500
2022-10-28,2.070000,2.150000,2.050000,2.120000,2.120000,258200
2022-10-31,2.090000,2.120000,2.000000,2.030000,2.030000,279000
2022-11-01,2.080000,2.100000,1.960000,1.980000,1.980000,330300
2022-11-02,1.980000,1.980000,1.730000,1.820000,1.820000,1132900
2022-11-03,1.860000,1.870000,1.720000,1.770000,1.770000,447400
2022-11-04,1.800000,1.840000,1.710000,1.800000,1.800000,645100
2022-11-07,1.800000,1.850000,1.760000,1.820000,1.820000,430400
2022-11-08,1.820000,1.890000,1.790000,1.810000,1.810000,167300
2022-11-09,1.780000,1.880000,1.740000,1.750000,1.750000,321300
2022-11-10,1.730000,1.750000,1.610000,1.620000,1.620000,1749000
2022-11-11,1.640000,1.670000,1.300000,1.380000,1.380000,3292000
2022-11-14,1.390000,1.390000,1.040000,1.320000,1.320000,3507200
2022-11-15,1.320000,1.470000,1.210000,1.370000,1.370000,967900
2022-11-16,1.390000,1.460000,1.380000,1.420000,1.420000,445900
2022-11-17,1.420000,1.570000,1.210000,1.330000,1.330000,1128600
